Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
Harrogate and Knaresborough,-2,11,76408,103322,E14000730,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Andrew,Jones,Male,Con,LD,77941,56937,167,9675
Harrow East,2,-8,70981,108089,E14000731,E12000007,London,London,England,Borough,Bob,Blackman,Male,Con,Lab,72106,49491,237,8170
Harrow West,1,-8,69644,108963,E14000732,E12000007,London,London,England,Borough,Gareth,Thomas,Male,Lab,Con,72464,47922,158,8692
Hartlepool,1,14,69947,93019,E14000733,E12000001,Cleveland,North East,England,Borough,Mike,Hill,Male,Lab,Con,70855,41037,119,3595
Harwich and North Essex,10,-2,69290,95282,E14000734,E12000006,Essex,East,England,County,Bernard,Jenkin,Male,Con,Lab,74153,51963,162,20182
Hastings and Rye,11,-14,75095,111779,E14000735,E12000008,East Sussex,South East,England,County,Sally-Ann,Hart,Female,Con,Lab,80524,54274,262,4043
Havant,-1,-14,70573,95381,E14000736,E12000008,Hampshire,South East,England,Borough,Alan,Mak,Male,Con,Lab,72103,45959,202,21792
Hayes and Harlington,-1,-9,74874,126503,E14000737,E12000007,London,London,England,Borough,John,McDonnell,Male,Lab,Con,72357,43994,108,9261
Hazel Grove,-4,4,63098,80374,E14000738,E12000002,Greater Manchester,North West,England,County,William,Wragg,Male,Con,LD,63346,44269,203,4423
Hemel Hempstead,5,-5,74616,106080,E14000739,E12000006,Hertfordshire,East,England,County,Mike,Penning,Male,Con,Lab,74035,51271,207,14563
Hemsworth,0,7,72714,98041,E14000740,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Jon,Trickett,Male,Lab,Con,73726,43907,129,1180
Hendon,2,-7,75285,138888,E14000741,E12000007,London,London,England,Borough,Matthew,Offord,Male,Con,Lab,82661,55075,133,4230
Henley,1,-6,77946,99228,E14000742,E12000008,Oxfordshire,South East,England,County,John,Howell,Male,Con,LD,76646,58759,281,14053
Hereford and South Herefordshire,-7,-5,71485,101437,E14000743,E12000005,Hereford and Worcester,West Midlands,England,County,Jesse,Norman,Male,Con,Lab,72085,49646,207,19686
Hertford and Stortford,7,-3,80610,113894,E14000744,E12000006,Hertfordshire,East,England,County,Julie,Marson,Female,Con,Lab,81765,60094,229,19620
Hertsmere,7,-5,73767,104031,E14000745,E12000006,Hertfordshire,East,England,County,Oliver,Dowden,Male,Con,Lab,73971,52203,268,21313
Hexham,-4,16,59708,77272,E14000746,E12000001,Northumberland,North East,England,County,Guy,Opperman,Male,Con,Lab,61324,46150,180,10549
Heywood and Middleton,-5,8,79989,106600,E14000747,E12000002,Greater Manchester,North West,England,County,Chris,Clarkson,Male,Con,Lab,80162,47488,153,663
High Peak,-3,4,73336,92063,E14000748,E12000004,Derbyshire,East Midlands,England,County,Robert,Largan,Male,Con,Lab,74265,54173,141,590
Hitchin and Harpenden,5,-3,80333,103624,E14000749,E12000006,Hertfordshire,East,England,County,Bim,Afolami,Male,Con,LD,76323,58871,266,6895
Holborn and St Pancras,4,-10,86764,154210,E14000750,E12000007,London,London,England,Borough,Keir,Starmer,Male,Lab,Con,86061,56786,232,27763
Hornchurch and Upminster,8,-8,79331,110402,E14000751,E12000007,London,London,England,Borough,Julia,Lopez,Female,Con,Lab,80765,53974,253,23308
Hornsey and Wood Green,4,-7,79247,128655,E14000752,E12000007,London,London,England,Borough,Catherine,West,Female,Lab,LD,81814,61105,197,19242
Horsham,1,-15,79085,111853,E14000753,E12000008,West Sussex,South East,England,County,Jeremy,Quin,Male,Con,LD,86730,63242,307,21127
Houghton and Sunderland South,-1,14,68324,87575,E14000754,E12000001,Tyne and Wear,North East,England,Borough,Bridget,Phillipson,Female,Lab,Con,68835,39811,129,3115
Hove,5,-15,73505,103177,E14000755,E12000008,East Sussex,South East,England,Borough,Peter,Kyle,Male,Lab,Con,74313,56391,151,17044
Huddersfield,-3,7,65269,100197,E14000756,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Barry,Sheerman,Male,Lab,Con,65525,41882,216,4937
