Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
South Suffolk,10,-1,73836,94900,E14000946,E12000006,Suffolk,East,England,County,James,Cartlidge,Male,Con,Lab,76201,53489,277,22897
South Swindon,-4,-8,73926,108126,E14000947,E12000009,Wiltshire,South West,England,County,Robert,Buckland,Male,Con,Lab,73118,50746,247,6625
South Thanet,13,-11,70970,101730,E14000948,E12000008,Kent,South East,England,County,Craig,Mackinlay,Male,Con,Lab,73223,48257,211,10587
South West Bedfordshire,3,-5,79285,111581,E14000949,E12000006,Bedfordshire,East,England,County,Andrew,Selous,Male,Con,Lab,79926,53307,254,18583
South West Devon,-13,-14,71035,89446,E14000950,E12000009,Devon,South West,England,County,Gary,Streeter,Male,Con,Lab,72535,53367,275,21430
South West Hertfordshire,3,-6,79668,110191,E14000951,E12000006,Hertfordshire,East,England,County,Gagan,Mohindra,Male,Con,Ind,80499,61191,277,14408
South West Norfolk,7,0,76970,109166,E14000952,E12000006,Norfolk,East,England,County,Elizabeth,Truss,Female,Con,Lab,78455,51466,184,26195
South West Surrey,-2,-12,77548,106199,E14000953,E12000008,Surrey,South East,England,County,Jeremy,Hunt,Male,Con,LD,79096,60340,374,8817
South West Wiltshire,-7,-11,73018,103010,E14000954,E12000009,Wiltshire,South West,England,County,Andrew,Murrison,Male,Con,Lab,77969,54895,246,21630
"Southampton, Itchen",-5,-13,72281,110014,E14000955,E12000008,Hampshire,South East,England,Borough,Royston,Smith,Male,Con,Lab,72299,47421,137,4498
"Southampton, Test",-5,-12,70270,112751,E14000956,E12000008,Hampshire,South East,England,Borough,Alan,Whitehead,Male,Lab,Con,70116,44994,122,6213
Southend West,10,-6,66876,92501,E14000957,E12000006,Essex,East,England,Borough,David,Amess,Male,Con,Lab,69043,46537,260,14459
Southport,-9,9,67326,92050,E14000958,E12000002,Merseyside,North West,England,Borough,Damien,Moore,Male,Con,Lab,70837,48180,190,4147
Spelthorne,-1,-11,71592,99120,E14000959,E12000008,Surrey,South East,England,Borough,Kwasi,Kwarteng,Male,Con,Lab,70929,49510,273,18393
St Albans,6,-5,75825,103086,E14000960,E12000006,Hertfordshire,East,England,County,Daisy,Cooper,Female,LD,Con,73727,57599,173,6293
St Austell and Newquay,-15,-15,76607,106443,E14000961,E12000009,Cornwall,South West,England,County,Steve,Double,Male,Con,Lab,79930,55776,140,16526
St Helens North,-9,5,75262,98708,E14000962,E12000002,Merseyside,North West,England,Borough,Conor,McGinn,Male,Lab,Con,75593,47561,167,12209
St Helens South and Whiston,-9,4,77720,102854,E14000963,E12000002,Merseyside,North West,England,Borough,Marie,Rimmer,Female,Lab,Con,79061,50313,129,19122
St Ives,-16,-16,65570,87250,E14000964,E12000009,Cornwall,South West,England,County,Derek,Thomas,Male,Con,LD,68795,51413,111,4280
Stafford,-4,0,68705,97986,E14000965,E12000005,Staffordshire,West Midlands,England,County,Theo,Clarke,Female,Con,Lab,72572,51149,193,14377
Staffordshire Moorlands,-3,2,63104,78763,E14000966,E12000005,Staffordshire,West Midlands,England,County,Karen,Bradley,Female,Con,Lab,65485,43656,173,16428
Stalybridge and Hyde,-4,6,71357,94171,E14000967,E12000002,Greater Manchester,North West,England,County,Jonathan,Reynolds,Male,Lab,Con,73064,42368,143,2946
Stevenage,6,-4,70597,98200,E14000968,E12000006,Hertfordshire,East,England,County,Stephen,McPartland,Male,Con,Lab,71562,47683,197,8562
Stockport,-5,4,63931,88745,E14000969,E12000002,Greater Manchester,North West,England,Borough,Navendu,Mishra,Male,Lab,Con,65391,41715,145,10039
Stockton North,0,13,66126,92763,E14000970,E12000001,Cleveland,North East,England,Borough,Alex,Cunningham,Male,Lab,Con,66649,41156,116,1027
Stockton South,0,12,75111,103724,E14000971,E12000001,Cleveland,North East,England,Borough,Matt,Vickers,Male,Con,Lab,76870,54802,142,5260
Stone,-5,0,67339,85555,E14000975,E12000005,Staffordshire,West Midlands,England,County,William,Cash,Male,Con,Lab,69378,49843,222,19945
Stourbridge,-5,-4,69077,90208,E14000976,E12000005,West Midlands,West Midlands,England,Borough,Suzanne,Webb,Female,Con,Lab,69891,45689,142,13571
Streatham,4,-13,79137,123997,E14000978,E12000007,London,London,England,Borough,Bell,Ribeiro-Addy,Female,Lab,LD,84783,56513,178,17690
Stretford and Urmston,-7,4,69026,100958,E14000979,E12000002,Greater Manchester,North West,England,Borough,Kate,Green,Female,Lab,Con,72372,50067,155,16417
Stroud,-6,-7,80544,104822,E14000980,E12000009,Gloucestershire,South West,England,County,Siobhan,Baillie,Female,Con,Lab,84537,65930,185,3840
Suffolk Coastal,9,1,77816,102482,E14000981,E12000006,Suffolk,East,England,County,Thérèse,Coffey,Female,Con,Lab,81910,58308,199,20533
Sunderland Central,0,15,72950,101578,E14000982,E12000001,Tyne and Wear,North East,England,Borough,Julie,Elliott,Female,Lab,Con,72680,43476,104,2964
Surrey Heath,-1,-10,79515,109004,E14000983,E12000008,Surrey,South East,England,County,Michael,Gove,Male,Con,LD,81349,58654,237,18349
Sutton and Cheam,2,-13,69228,101463,E14000984,E12000007,London,London,England,Borough,Paul,Scully,Male,Con,LD,71779,50487,211,8351
Sutton Coldfield,-2,-1,74956,94906,E14000985,E12000005,West Midlands,West Midlands,England,Borough,Andrew,Mitchell,Male,Con,Lab,75638,52325,312,19272
Tamworth,-1,0,71913,95401,E14000986,E12000005,Staffordshire,West Midlands,England,County,Christopher,Pincher,Male,Con,Lab,71572,46056,154,19634
Tatton,-6,2,65004,86010,E14000987,E12000002,Cheshire,North West,England,County,Esther,McVey,Female,Con,Lab,69018,48967,179,17387
Taunton Deane,-10,-13,83221,117423,E14000988,E12000009,Somerset,South West,England,County,Rebecca,Pow,Female,Con,LD,88676,63733,192,11700
Telford,-8,-1,66166,96290,E14000989,E12000005,Shropshire,West Midlands,England,Borough,Lucy,Allan,Female,Con,Lab,68921,42825,224,10941
Tewkesbury,-6,-6,78910,106198,E14000990,E12000009,Gloucestershire,South West,England,County,Laurence,Robertson,Male,Con,LD,83958,61140,261,22410
The Cotswolds,-5,-6,78290,100817,E14000991,E12000009,Gloucestershire,South West,England,County,Geoffrey,Clifton-Brown,Male,Con,LD,81939,61176,265,20214
The Wrekin,-7,0,65942,95165,E14000992,E12000005,Shropshire,West Midlands,England,County,Mark,Pritchard,Male,Con,Lab,70693,48890,194,18726
Thirsk and Malton,1,11,77451,100911,E14000993,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Kevin,Hollinrake,Male,Con,Lab,80991,56588,242,25154
Thornbury and Yate,-8,-7,66066,86444,E14000994,E12000009,Avon,South West,England,County,Luke,Hall,Male,Con,LD,69492,52243,254,12369
Thurrock,8,-7,77559,128157,E14000995,E12000006,Essex,East,England,Borough,Jacqueline,Doyle-Price,Female,Con,Lab,79659,47467,139,11482
Tiverton and Honiton,-11,-13,76270,101980,E14000996,E12000009,Devon,South West,England,County,Neil,Parish,Male,Con,Lab,82953,59613,248,24239
Tonbridge and Malling,10,-12,74877,105463,E14000997,E12000008,Kent,South East,England,County,Thomas,Tugendhat,Male,Con,LD,79278,57003,312,26941
Tooting,3,-13,76782,109451,E14000998,E12000007,London,London,England,Borough,Rosena,Allin-Khan,Female,Lab,Con,76954,58473,177,14307
Torbay,-13,-15,76350,99901,E14000999,E12000009,Devon,South West,England,Borough,Kevin,Foster,Male,Con,LD,75054,50426,141,17749
Torridge and West Devon,-13,-12,78621,101604,E14001000,E12000009,Devon,South West,England,County,Geoffrey,Cox,Male,Con,LD,80403,59730,233,24992
Totnes,-13,-16,68630,85858,E14001001,E12000009,Devon,South West,England,County,Anthony,Mangnall,Male,Con,LD,69863,52182,196,12724
Tottenham,4,-8,70803,142569,E14001002,E12000007,London,London,England,Borough,David,Lammy,Male,Lab,Con,75740,46856,204,30175
Truro and Falmouth,-15,-16,73601,95669,E14001003,E12000009,Cornwall,South West,England,County,Cherilyn,Mackrory,Female,Con,Lab,76719,59190,171,4561
Tunbridge Wells,10,-13,73429,107914,E14001004,E12000008,Kent,South East,England,County,Gregory,Clark,Male,Con,LD,74823,54650,321,14645
Twickenham,0,-12,80250,117932,E14001005,E12000007,London,London,England,Borough,Munira,Wilson,Female,LD,Con,84906,64503,239,14121
Tynemouth,-1,17,77524,100074,E14001006,E12000001,Tyne and Wear,North East,England,Borough,Alan,Campbell,Male,Lab,Con,77261,56034,179,4857
Uxbridge and South Ruislip,0,-8,70631,110148,E14001007,E12000007,London,London,England,Borough,Boris,Johnson,Male,Con,Lab,70365,48187,93,7210
Vauxhall,5,-12,82231,122334,E14001008,E12000007,London,London,England,Borough,Florence,Eshalomi,Female,Lab,LD,88659,56333,236,19612
Wakefield,-1,7,70521,99280,E14001009,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Imran,Ahmad Khan,Male,Con,Lab,70192,45027,137,3358
Wallasey,-11,3,65495,90343,E14001010,E12000002,Merseyside,North West,England,Borough,Angela,Eagle,Female,Lab,Con,66310,46492,102,18322
Walsall North,-6,-1,67080,99247,E14001011,E12000005,West Midlands,West Midlands,England,Borough,Eddie,Hughes,Male,Con,Lab,67177,36556,125,11965
Walsall South,-5,-1,67743,104514,E14001012,E12000005,West Midlands,West Midlands,England,Borough,Valerie,Vaz,Female,Lab,Con,68024,42472,115,3456
Walthamstow,5,-8,67015,117946,E14001013,E12000007,London,London,England,County,Stella,Creasy,Female,Lab,Con,70267,48335,206,30862
Wansbeck,-3,17,60705,82231,E14001014,E12000001,Northumberland,North East,England,County,Ian,Lavery,Male,Lab,Con,63339,40509,119,814
Wantage,-2,-6,82931,117983,E14001015,E12000008,Oxfordshire,South East,England,County,David,Johnston,Male,Con,LD,90867,67173,306,12653
Warley,-5,-3,63738,98304,E14001016,E12000005,West Midlands,West Midlands,England,Borough,John,Spellar,Male,Lab,Con,62357,37239,142,11511
Warrington North,-8,4,72104,97017,E14001017,E12000002,Cheshire,North West,England,Borough,Charlotte,Nichols,Female,Lab,Con,72235,46667,169,1509
Warrington South,-8,3,84767,112687,E14001018,E12000002,Cheshire,North West,England,Borough,Andy,Carter,Male,Con,Lab,86015,61899,187,2010
Warwick and Leamington,-1,-5,71578,99849,E14001019,E12000005,Warwickshire,West Midlands,England,Borough,Matt,Western,Male,Lab,Con,76362,54205,128,789
Washington and Sunderland West,-2,15,68190,88096,E14001020,E12000001,Tyne and Wear,North East,England,Borough,Sharon,Hodgson,Female,Lab,Con,66278,37513,108,3723
Watford,7,-6,83535,122153,E14001021,E12000006,Hertfordshire,East,England,Borough,Dean,Russell,Male,Con,Lab,83359,58065,263,4433
Waveney,8,1,80166,104861,E14001022,E12000006,Suffolk,East,England,County,Peter,Aldous,Male,Con,Lab,82791,51129,175,18002
Wealden,11,-13,80236,108729,E14001023,E12000008,East Sussex,South East,England,County,Nusrat,Ghani,Female,Con,LD,82998,60907,365,25655
Weaver Vale,-7,2,68407,89411,E14001024,E12000002,Cheshire,North West,England,County,Mike,Amesbury,Male,Lab,Con,70551,50713,113,562
Wellingborough,4,-1,74317,113099,E14001025,E12000004,Northamptonshire,East Midlands,England,County,Peter,Bone,Male,Con,Lab,80765,51913,235,18540
Wells,-10,-12,79405,106881,E14001026,E12000009,Somerset,South West,England,County,James,Heappey,Male,Con,LD,84124,61628,216,9991
Welwyn Hatfield,7,-4,73247,116869,E14001027,E12000006,Hertfordshire,East,England,County,Grant,Shapps,Male,Con,Lab,74892,52053,226,10955
Wentworth and Dearne,-1,5,74283,98554,E14001028,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,John,Healey,Male,Lab,Con,74536,41557,127,2165
West Bromwich East,-4,-2,63637,93365,E14001029,E12000005,West Midlands,West Midlands,England,Borough,Nicola,Richards,Female,Con,Lab,62046,35975,104,1593
West Bromwich West,-5,-2,65524,95418,E14001030,E12000005,West Midlands,West Midlands,England,Borough,Shaun,Bailey,Male,Con,Lab,64517,34459,84,3799
West Dorset,-9,-14,78000,98090,E14001031,E12000009,Dorset,South West,England,County,Chris,Loder,Male,Con,LD,81897,60925,237,14106
West Ham,6,-9,90640,185200,E14001032,E12000007,London,London,England,Borough,Lyn,Brown,Female,Lab,Con,97947,60200,317,32388
West Lancashire,-8,8,70906,97626,E14001033,E12000002,Lancashire,North West,England,County,Rosie,Cooper,Female,Lab,Con,73347,52663,170,8336
West Suffolk,8,-1,76198,121071,E14001034,E12000006,Suffolk,East,England,County,Matthew,Hancock,Male,Con,Lab,80193,51437,336,23194
West Worcestershire,-7,-4,73394,95096,E14001035,E12000005,Hereford and Worcester,West Midlands,England,County,Harriett,Baldwin,Female,Con,LD,76241,57530,296,24499
Westminster North,3,-11,62346,129527,E14001036,E12000007,London,London,England,Borough,Karen,Buck,Female,Lab,Con,65519,42911,133,10759
Westmorland and Lonsdale,-4,13,65857,84614,E14001037,E12000002,Cumbria,North West,England,County,Timothy,Farron,Male,LD,Con,67789,52712,141,1934
Weston-Super-Mare,-9,-12,80309,110924,E14001038,E12000009,Avon,South West,England,County,John,Penrose,Male,Con,Lab,82526,55614,255,17121
Wigan,-7,8,75990,104158,E14001039,E12000002,Greater Manchester,North West,England,County,Lisa,Nandy,Female,Lab,Con,75680,45042,134,6728
Wimbledon,2,-12,65853,99220,E14001040,E12000007,London,London,England,Borough,Stephen,Hammond,Male,Con,LD,68240,53027,217,628
Winchester,-4,-11,74119,102044,E14001041,E12000008,Hampshire,South East,England,County,Stephen,Brine,Male,Con,LD,75582,58890,210,985
Windsor,-2,-9,71538,105669,E14001042,E12000008,Berkshire,South East,England,County,Adam,Afriyie,Male,Con,LD,75038,53750,201,20079
Wirral South,-9,2,56956,72991,E14001043,E12000002,Merseyside,North West,England,County,Alison,McGovern,Female,Lab,Con,57280,43547,112,6105
Wirral West,-11,2,55377,69375,E14001044,E12000002,Merseyside,North West,England,County,Margaret,Greenwood,Female,Lab,Con,55550,42918,107,3003
Witham,10,-4,67090,91545,E14001045,E12000006,Essex,East,England,County,Priti,Patel,Female,Con,Lab,70402,49344,209,24082
Witney,-1,-6,79767,109266,E14001046,E12000008,Oxfordshire,South East,England,County,Robert,Courts,Male,Con,LD,83845,61305,392,15177
Woking,-2,-11,74269,108197,E14001047,E12000008,Surrey,South East,England,County,Jonathan,Lord,Male,Con,LD,75424,53937,177,9767
Wokingham,-4,-9,77881,109445,E14001048,E12000008,Berkshire,South East,England,County,John,Redwood,Male,Con,LD,83953,61997,219,7383
Wolverhampton North East,-7,-1,61065,90944,E14001049,E12000005,West Midlands,West Midlands,England,Borough,Jane,Stevenson,Female,Con,Lab,61660,34281,92,4080
Wolverhampton South East,-6,-2,62556,93652,E14001050,E12000005,West Midlands,West Midlands,England,Borough,Pat,McFadden,Male,Lab,Con,62883,33443,78,1235
Wolverhampton South West,-7,-2,60368,87774,E14001051,E12000005,West Midlands,West Midlands,England,Borough,Stuart,Anderson,Male,Con,Lab,60534,41136,148,1661
Worcester,-6,-5,72461,102314,E14001052,E12000005,Hereford and Worcester,West Midlands,England,Borough,Robin,Walker,Male,Con,Lab,73485,50898,174,6758
Workington,-5,14,58615,79433,E14001053,E12000002,Cumbria,North West,England,County,Mark,Jenkinson,Male,Con,Lab,61370,41599,93,4176
Worsley and Eccles South,-8,5,72177,103048,E14001054,E12000002,Greater Manchester,North West,England,County,Barbara,Keeley,Female,Lab,Con,75219,44707,118,3219
Worthing West,3,-15,75617,98911,E14001055,E12000008,West Sussex,South East,England,Borough,Peter,Bottomley,Male,Con,Lab,78585,54648,274,14823
Wycombe,-1,-7,76371,111353,E14001056,E12000008,Buckinghamshire,South East,England,County,Steve,Baker,Male,Con,Lab,78093,54756,168,4214
Wyre and Preston North,-6,11,70637,89672,E14001057,E12000002,Lancashire,North West,England,County,Ben,Wallace,Male,Con,Lab,74775,52924,200,16781
Wyre Forest,-8,-3,77407,100715,E14001058,E12000005,Hereford and Worcester,West Midlands,England,County,Mark,Garnier,Male,Con,Lab,78077,50561,257,21413
Wythenshawe and Sale East,-6,3,75994,108336,E14001059,E12000002,Greater Manchester,North West,England,Borough,Michael,Kane,Male,Lab,Con,76313,44759,125,10396
Yeovil,-10,-14,82447,111055,E14001060,E12000009,Somerset,South West,England,County,Marcus,Fysh,Male,Con,LD,82468,59260,148,16181
York Central,0,11,75351,111937,E14001061,E12000003,North Yorkshire,Yorkshire and The Humber,England,Borough,Rachael,Maskell,Female,Lab,Con,74899,49505,198,13545
York Outer,-1,11,78561,96226,E14001062,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Julian,Sturdy,Male,Con,Lab,74673,55347,228,9985
Belfast East,-14,13,63157,95193,N06000001,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Gavin,Robinson,Male,DUP,Alliance,66245,42445,169,1819
Belfast North,-14,14,68553,104231,N06000002,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,Borough,John,Finucane,Male,SF,DUP,72225,49037,388,1943
Belfast South,-14,12,64927,114391,N06000003,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Claire,Hanna,Female,SDLP,DUP,69984,47352,172,15401
Belfast West,-15,13,62697,94620,N06000004,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Paul,Maskey,Male,SF,PBPA,65644,38782,206,14672
East Antrim,-14,15,62811,90196,N06000005,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Sammy,Wilson,Male,DUP,Alliance,64830,37261,170,6706
East Londonderry,-16,15,66926,101534,N06000006,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Gregory,Campbell,Male,DUP,SDLP,69246,39302,193,9607
Fermanagh and South Tyrone,-17,13,70108,107878,N06000007,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Michelle,Gildernew,Female,SF,UUP,72848,50762,324,57
Foyle,-17,15,70036,103075,N06000008,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Colum,Eastwood,Male,SDLP,SF,74346,47144,226,17110
Lagan Valley,-15,12,71152,107881,N06000009,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Jeffrey M.,Donaldson,Male,DUP,Alliance,75735,45405,184,6499
Mid Ulster,-16,14,67832,103611,N06000010,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Francie,Molloy,Male,SF,DUP,70449,44620,348,9537
Newry and Armagh,-15,11,77633,119091,N06000011,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Mickey,Brady,Male,SF,DUP,81226,50779,341,9287
North Antrim,-15,15,75876,111886,N06000012,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Ian,Paisley,Male,DUP,UUP,77134,44051,304,12721
North Down,-13,14,64207,91330,N06000013,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Stephen,Farry,Male,Alliance,DUP,67099,40643,172,2968
South Antrim,-15,14,67425,102756,N06000014,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Paul,Girvan,Male,DUP,UUP,71711,42974,214,2689
South Down,-13,12,75220,112809,N06000015,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Chris,Hazzard,Male,SF,SDLP,79175,49762,209,1620
Strangford,-13,13,64289,91308,N06000016,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Jim,Shannon,Male,DUP,Alliance,66928,37485,175,7071
Upper Bann,-16,12,80060,126134,N06000017,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Carla,Lockhart,Female,DUP,SF,82887,50045,303,8210
West Tyrone,-17,14,63856,92910,N06000018,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,Órfhlaith,Begley,Female,SF,DUP,66259,41186,189,7478
Aberdeen North,-4,25,67745,100606,S14000001,S92000003,Scotland,Scotland,Scotland,Borough,Kirsty,Blackman,Female,SNP,Con,62489,37413,72,12670
Aberdeen South,-3,24,68056,97610,S14000002,S92000003,Scotland,Scotland,Scotland,Borough,Stephen,Flynn,Male,SNP,Con,65719,45638,131,3990
Airdrie and Shotts,-7,20,66792,87809,S14000003,S92000003,Scotland,Scotland,Scotland,County,Neil,Gray,Male,SNP,Lab,64011,39772,91,5201
Angus,-5,23,65792,86637,S14000004,S92000003,Scotland,Scotland,Scotland,County,Dave,Doogan,Male,SNP,Con,63952,43170,92,3795
Argyll and Bute,-8,23,68875,87660,S14000005,S92000003,Scotland,Scotland,Scotland,County,Brendan,O'Hara,Male,SNP,Con,66525,48050,142,4110
"Ayr, Carrick and Cumnock",-8,16,72995,92472,S14000006,S92000003,Scotland,Scotland,Scotland,County,Allan,Dorans,Male,SNP,Con,71970,46592,138,2329
Banff and Buchan,-5,24,68609,92185,S14000007,S92000003,Scotland,Scotland,Scotland,County,David,Duguid,Male,Con,SNP,66655,42260,96,4118
"Berwickshire, Roxburgh and Selkirk",-5,17,74214,94586,S14000008,S92000003,Scotland,Scotland,Scotland,County,John,Lamont,Male,Con,SNP,74518,53146,170,5148
"Caithness, Sutherland and Easter Ross",-6,26,47558,61311,S14000009,S92000003,Scotland,Scotland,Scotland,County,Jamie,Stone,Male,LD,SNP,46930,31457,61,204
Central Ayrshire,-10,17,70021,88413,S14000010,S92000003,Scotland,Scotland,Scotland,County,Philippa,Whitford,Female,SNP,Con,69742,46534,105,5304
"Coatbridge, Chryston and Bellshill",-8,20,73894,96764,S14000011,S92000003,Scotland,Scotland,Scotland,Borough,Steven,Bonnar,Male,SNP,Lab,72943,48221,121,5624
"Cumbernauld, Kilsyth and Kirkintilloch East",-8,21,67088,85602,S14000012,S92000003,Scotland,Scotland,Scotland,County,Stuart C.,McDonald,Male,SNP,Lab,66079,45686,143,12976
Dumfries and Galloway,-6,16,75249,94932,S14000013,S92000003,Scotland,Scotland,Scotland,County,Alister,Jack,Male,Con,SNP,74580,51429,123,1805
"Dumfriesshire, Clydesdale and Tweeddale",-5,16,68483,86993,S14000014,S92000003,Scotland,Scotland,Scotland,County,David,Mundell,Male,Con,SNP,68330,49153,142,3781
Dundee East,-5,22,67822,90377,S14000015,S92000003,Scotland,Scotland,Scotland,Borough,Stewart,Hosie,Male,SNP,Con,66210,45277,134,13375
Dundee West,-6,23,65927,87906,S14000016,S92000003,Scotland,Scotland,Scotland,Borough,Chris,Law,Male,SNP,Lab,64431,41579,92,12259
Dunfermline and West Fife,-6,21,78037,99724,S14000017,S92000003,Scotland,Scotland,Scotland,County,Douglas,Chapman,Male,SNP,Lab,76652,53482,130,10699
East Dunbartonshire,-8,22,66966,82662,S14000018,S92000003,Scotland,Scotland,Scotland,County,Amy,Callaghan,Female,SNP,LD,66075,53031,80,149
"East Kilbride, Strathaven and Lesmahagow",-8,17,83205,99275,S14000019,S92000003,Scotland,Scotland,Scotland,County,Lisa,Cameron,Female,SNP,Lab,81224,56337,137,13322
East Lothian,-4,18,79481,102050,S14000020,S92000003,Scotland,Scotland,Scotland,County,Kenny,MacAskill,Male,SNP,Lab,81600,58513,114,3886
East Renfrewshire,-10,18,69982,92380,S14000021,S92000003,Scotland,Scotland,Scotland,County,Kirsten,Oswald,Female,SNP,Con,72232,55357,176,5426
Edinburgh East,-5,19,67141,96872,S14000022,S92000003,Scotland,Scotland,Scotland,Borough,Tommy,Sheppard,Male,SNP,Lab,69424,47815,142,10417
Edinburgh North and Leith,-6,19,80910,111065,S14000023,S92000003,Scotland,Scotland,Scotland,Borough,Deidre,Brock,Female,SNP,Lab,81336,59344,105,12808
Edinburgh South,-5,18,65801,88728,S14000024,S92000003,Scotland,Scotland,Scotland,Borough,Ian,Murray,Male,Lab,SNP,66188,49732,122,11095
Edinburgh South West,-6,18,72149,101284,S14000025,S92000003,Scotland,Scotland,Scotland,Borough,Joanna,Cherry,Female,SNP,Con,73501,52131,91,11982
Edinburgh West,-7,19,71717,94731,S14000026,S92000003,Scotland,Scotland,Scotland,Borough,Christine,Jardine,Female,LD,SNP,72507,54533,124,3769
Falkirk,-7,21,83380,111872,S14000028,S92000003,Scotland,Scotland,Scotland,County,John,McNally,Male,SNP,Con,84472,55872,217,14948
Glasgow Central,-9,19,70945,91166,S14000029,S92000003,Scotland,Scotland,Scotland,Borough,Alison,Thewliss,Female,SNP,Lab,69230,40105,153,6474
Glasgow East,-8,18,70378,89140,S14000030,S92000003,Scotland,Scotland,Scotland,Borough,David,Linden,Male,SNP,Lab,67381,38483,102,5566
Glasgow North,-9,20,60169,71997,S14000031,S92000003,Scotland,Scotland,Scotland,Borough,Patrick,Grady,Male,SNP,Lab,57130,36191,84,5601
Glasgow North East,-9,21,66678,85826,S14000032,S92000003,Scotland,Scotland,Scotland,Borough,Anne,McLaughlin,Female,SNP,Lab,61075,33925,116,2548
Glasgow North West,-10,21,68418,87060,S14000033,S92000003,Scotland,Scotland,Scotland,Borough,Carol,Monaghan,Female,SNP,Lab,63402,39735,180,8359
Glasgow South,-9,18,74051,88617,S14000034,S92000003,Scotland,Scotland,Scotland,Borough,Stewart Malcolm,McDonald,Male,SNP,Lab,70891,47443,80,9005
Glasgow South West,-10,19,66209,85844,S14000035,S92000003,Scotland,Scotland,Scotland,Borough,Chris,Stephens,Male,SNP,Lab,64575,36847,76,4900
Glenrothes,-4,22,69781,89042,S14000036,S92000003,Scotland,Scotland,Scotland,County,Peter,Grant,Male,SNP,Lab,65672,41546,70,11757
Gordon,-5,25,79393,102856,S14000037,S92000003,Scotland,Scotland,Scotland,County,Richard,Thomson,Male,SNP,Con,79629,55916,148,819
Inverclyde,-11,21,59350,79860,S14000038,S92000003,Scotland,Scotland,Scotland,County,Ronnie,Cowan,Male,SNP,Lab,60622,39903,125,7512
"Inverness, Nairn, Badenoch and Strathspey",-7,25,77628,103356,S14000039,S92000003,Scotland,Scotland,Scotland,County,Drew,Hendry,Male,SNP,Con,78059,54810,112,10440
Kilmarnock and Loudoun,-7,16,75250,96159,S14000040,S92000003,Scotland,Scotland,Scotland,County,Alan,Brown,Male,SNP,Con,74517,47631,138,12659
Kirkcaldy and Cowdenbeath,-5,21,75941,97838,S14000041,S92000003,Scotland,Scotland,Scotland,County,Neale,Hanvey,Male,SNP,Lab,72853,47005,108,1243
Lanark and Hamilton East,-7,17,79962,98138,S14000042,S92000003,Scotland,Scotland,Scotland,County,Angela,Crawley,Female,SNP,Con,77659,53072,129,5187
Linlithgow and East Falkirk,-6,20,86955,114250,S14000043,S92000003,Scotland,Scotland,Scotland,County,Martyn,Day,Male,SNP,Con,87044,57775,105,11266
Livingston,-7,18,82373,108668,S14000044,S92000003,Scotland,Scotland,Scotland,County,Hannah,Bardell,Female,SNP,Con,82285,54592,146,13435
Midlothian,-6,17,67875,86210,S14000045,S92000003,Scotland,Scotland,Scotland,County,Owen,Thompson,Male,SNP,Lab,70544,48221,140,5705
Moray,-6,24,71685,94750,S14000046,S92000003,Scotland,Scotland,Scotland,County,Douglas,Ross,Male,Con,SNP,71035,48825,92,513
Motherwell and Wishaw,-8,19,70283,91843,S14000047,S92000003,Scotland,Scotland,Scotland,Borough,Marion,Fellows,Female,SNP,Lab,68856,44420,93,6268
North Ayrshire and Arran,-11,18,75791,94066,S14000048,S92000003,Scotland,Scotland,Scotland,County,Patricia,Gibson,Female,SNP,Con,73534,48154,115,8521
North East Fife,-4,23,62003,80656,S14000049,S92000003,Scotland,Scotland,Scotland,County,Wendy,Chamberlain,Female,LD,SNP,60905,45878,140,1316
Ochil and South Perthshire,-6,22,77370,101185,S14000050,S92000003,Scotland,Scotland,Scotland,County,John,Nicolson,Male,SNP,Con,78776,57813,131,4498
Orkney and Shetland,-5,28,34552,44820,S14000051,S92000003,Scotland,Scotland,Scotland,County,Alistair,Carmichael,Male,LD,SNP,34211,23160,80,2507
